Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2016,HDFC,EQ,1263.75,1261,1266.9,1250.65,1257.8,1258.45,1258.39,676161,8.50875E+13,13230,308262,0.4559
04-01-2016,HDFC,EQ,1258.45,1250,1253.9,1212.05,1217.15,1216.7,1227.55,1995329,2.44937E+14,78529,1360507,0.6818
05-01-2016,HDFC,EQ,1216.7,1229.9,1233.45,1206.5,1208.15,1209.4,1219.5,2325929,2.83646E+14,109820,1644980,0.7072
06-01-2016,HDFC,EQ,1209.4,1209.6,1220.75,1202.4,1207.55,1209.3,1210.81,2746330,3.32529E+14,96546,2001431,0.7288
07-01-2016,HDFC,EQ,1209.3,1198.85,1203.55,1175,1176.35,1179.45,1186.35,1780298,2.11206E+14,60151,1172564,0.6586
08-01-2016,HDFC,EQ,1179.45,1189.85,1230,1169,1176.45,1174.4,1175.62,2467149,2.90042E+14,79183,1703449,0.6905
11-01-2016,HDFC,EQ,1174.4,1165,1171,1150.1,1162.35,1161.55,1158.32,2288312,2.6506E+14,90184,1541783,0.6738
12-01-2016,HDFC,EQ,1161.55,1169.4,1169.4,1146.05,1149,1151.85,1152.94,1942208,2.23925E+14,60394,1307327,0.6731
13-01-2016,HDFC,EQ,1151.85,1157,1173.65,1145.35,1166,1167.65,1157.4,1830178,2.11825E+14,67493,1013586,0.5538
14-01-2016,HDFC,EQ,1167.65,1154.9,1167,1147.15,1162,1159.3,1158.69,3250397,3.76619E+14,88329,2243147,0.6901
15-01-2016,HDFC,EQ,1159.3,1160.7,1167.3,1143.15,1148,1149.8,1155.28,1890878,2.18449E+14,54238,1215113,0.6426
18-01-2016,HDFC,EQ,1149.8,1140,1157.7,1125.1,1127.95,1131.8,1139.19,2262744,2.57769E+14,48680,1569012,0.6934
19-01-2016,HDFC,EQ,1131.8,1132.9,1157.15,1130.9,1151,1153,1146.74,1418630,1.62679E+14,68378,861562,0.6073
20-01-2016,HDFC,EQ,1153,1140.25,1198.1,1129.15,1138,1136.65,1136.18,2585069,2.93709E+14,82183,1936503,0.7491
21-01-2016,HDFC,EQ,1136.65,1147.05,1147.7,1121.15,1132,1131.1,1131.36,5451792,6.16793E+14,98807,4097208,0.7515
22-01-2016,HDFC,EQ,1131.1,1140,1163.2,1135.2,1159,1158.45,1154.39,2741456,3.16471E+14,90734,1970887,0.7189
25-01-2016,HDFC,EQ,1158.45,1165,1183.4,1155,1175,1174.6,1175.68,2457396,2.88911E+14,105103,1957586,0.7966
27-01-2016,HDFC,EQ,1174.6,1176.4,1188.45,1162,1162.5,1169.95,1175.94,2496568,2.93582E+14,63831,1663988,0.6665
28-01-2016,HDFC,EQ,1169.95,1150,1159.65,1138,1151.5,1147.75,1149.97,4077193,4.68865E+14,145360,3012750,0.7389
29-01-2016,HDFC,EQ,1147.75,1147.75,1187.75,1145.05,1177,1180,1175.65,3136336,3.68725E+14,124408,2128783,0.6787
01-02-2016,HDFC,EQ,1180,1182.4,1193.95,1170.6,1178.15,1180.05,1182.69,2136935,2.52734E+14,100847,1458767,0.6826
02-02-2016,HDFC,EQ,1180.05,1177.6,1192.85,1166.5,1180.6,1179.8,1181.82,2338231,2.76336E+14,86110,1616392,0.6913
03-02-2016,HDFC,EQ,1179.8,1174.4,1180.85,1158.4,1161.8,1160.95,1167.76,2896768,3.38272E+14,84663,2068425,0.714
04-02-2016,HDFC,EQ,1160.95,1165.25,1177,1163.3,1168,1168.35,1171,1622222,1.89962E+14,59429,993851,0.6126
05-02-2016,HDFC,EQ,1168.35,1169,1186.1,1169,1183.6,1182.95,1182.13,1168106,1.38085E+14,56288,674853,0.5777
08-02-2016,HDFC,EQ,1182.95,1185.2,1186,1158.05,1160,1164.1,1171.97,1497068,1.75452E+14,60090,1061171,0.7088
09-02-2016,HDFC,EQ,1164.1,1151.1,1168.65,1140.3,1158,1159.9,1151.23,1662393,1.9138E+14,48668,1001949,0.6027
10-02-2016,HDFC,EQ,1159.9,1155,1156.75,1110.5,1118.8,1116.55,1128.59,2964666,3.34589E+14,110371,2230198,0.7523
11-02-2016,HDFC,EQ,1116.55,1110.3,1115.1,1058.05,1070,1066.65,1091.85,3006630,3.2828E+14,74548,2171125,0.7221
12-02-2016,HDFC,EQ,1066.65,1079,1097.1,1067.2,1083.65,1083.75,1084.68,3490711,3.7863E+14,116963,2274452,0.6516
15-02-2016,HDFC,EQ,1083.75,1093.4,1102,1076,1082,1080.45,1088.05,4217676,4.58905E+14,102410,3009995,0.7137
16-02-2016,HDFC,EQ,1080.45,1084.5,1090.45,1063.9,1079,1077.15,1074.08,3312107,3.55748E+14,76993,2000603,0.604
17-02-2016,HDFC,EQ,1077.15,1078,1085.4,1060.15,1079.85,1076.3,1074.44,2237100,2.40363E+14,83656,1581249,0.7068
18-02-2016,HDFC,EQ,1076.3,1086.85,1086.85,1062.7,1065.75,1069.1,1070.18,3891721,4.16485E+14,139499,3099486,0.7964
19-02-2016,HDFC,EQ,1069.1,1065,1065.4,1046.2,1059.65,1060.85,1056.15,2939450,3.10449E+14,116310,2085991,0.7097
22-02-2016,HDFC,EQ,1060.85,1051,1063.75,1047.85,1058.8,1058.4,1059.3,3374621,3.57472E+14,94904,2573023,0.7625
23-02-2016,HDFC,EQ,1058.4,1062,1062,1040,1048.7,1051.1,1049.97,3253934,3.41652E+14,130789,2641903,0.8119
24-02-2016,HDFC,EQ,1051.1,1050.8,1050.8,1018.55,1023.05,1022.1,1032,4731925,4.88336E+14,140161,3396353,0.7178
25-02-2016,HDFC,EQ,1022.1,1022,1049.5,1011.45,1042,1042.65,1034.31,6122303,6.33238E+14,152516,4767861,0.7788
26-02-2016,HDFC,EQ,1042.65,1056.7,1059,1048.35,1054,1053.7,1053.57,4862409,5.12291E+14,149956,3440132,0.7075
29-02-2016,HDFC,EQ,1053.7,1056,1078.5,1022.05,1064.75,1060.3,1058.22,5507689,5.82836E+14,127502,3594860,0.6527
01-03-2016,HDFC,EQ,1060.3,1072,1073.5,1046.8,1072.4,1069.45,1060.35,5690459,6.03387E+14,141765,4438457,0.78
02-03-2016,HDFC,EQ,1069.45,1081.95,1107,1077,1103,1099.55,1098.77,4070235,4.47223E+14,91567,3057624,0.7512
03-03-2016,HDFC,EQ,1099.55,1114.7,1135.8,1107.05,1122.4,1124.15,1120.4,2754190,3.08579E+14,87449,1957525,0.7107
04-03-2016,HDFC,EQ,1124.15,1128,1134.9,1105,1127.85,1129,1119.36,1624796,1.81873E+14,57813,1047257,0.6445
08-03-2016,HDFC,EQ,1129,1120,1150.8,1119,1149.9,1146.45,1141.26,3121092,3.56197E+14,95572,2395119,0.7674
09-03-2016,HDFC,EQ,1146.45,1144,1145,1106,1129.65,1128.65,1122.14,3962894,4.44693E+14,161185,2832177,0.7147
10-03-2016,HDFC,EQ,1128.65,1134.8,1157,1123.95,1157,1153.15,1137.39,4555206,5.18104E+14,199186,3508860,0.7703
